map_slug,department,faculty,scholar_id
map-of-bme,Biomedical Engineering,Abbott,xSMEGpAAAAAJ
map-of-bme,Biomedical Engineering,Campbell,CxBBWlIAAAAJ
map-of-bme,Biomedical Engineering,Chalacheva,
map-of-bme,Biomedical Engineering,Chase,H-pgq9QAAAAJ
map-of-bme,Biomedical Engineering,Cohen-Karni,7dey80AAAAAJ
map-of-bme,Biomedical Engineering,Cook,sAdoeA8AAAAJ
map-of-bme,Biomedical Engineering,Feinberg,cncJ21oAAAAJ
map-of-bme,Biomedical Engineering,Hammal,
map-of-bme,Biomedical Engineering,He,vBhJwrkAAAAJ
map-of-bme,Biomedical Engineering,Kainerstorfer,QsY8HmEAAAAJ
map-of-bme,Biomedical Engineering,Moore,XEMsPO8AAAAJ
map-of-bme,Biomedical Engineering,Niepa,aYUS1DkAAAAJ
map-of-bme,Biomedical Engineering,Palchesko,LyK-4aEAAAAJ
map-of-bme,Biomedical Engineering,Ren,xJrrWmQAAAAJ
map-of-bme,Biomedical Engineering,Smith,mhi9LhkAAAAJ
map-of-bme,Biomedical Engineering,Szafron,gbVHsS0AAAAJ
map-of-bme,Biomedical Engineering,Wang,E2N0GsIAAAAJ
map-of-bme,Biomedical Engineering,Washburn,ctYLFRIAAAAJ
map-of-bme,Biomedical Engineering,Wayne,_7HjzLYAAAAJ
map-of-bme,Biomedical Engineering,Wood,qC52bkkAAAAJ
map-of-bme,Biomedical Engineering,BYu,Fz3_tukAAAAJ
map-of-bme,Biomedical Engineering,KYu,wP966k4AAAAJ
map-of-bme,Biomedical Engineering,Zapanta,
map-of-bme,Biomedical Engineering,Zheng,5EewAB0AAAAJ
map-of-cheme,Chemical Engineering,Anna,2u09mlAAAAAJ
map-of-cheme,Chemical Engineering,BeckwithMaddock,
map-of-cheme,Chemical Engineering,Biegler,ymFxqWQAAAAJ
map-of-cheme,Chemical Engineering,Chan,Pstgk60AAAAJ
map-of-cheme,Chemical Engineering,Donahue,ILambBMAAAAJ
map-of-cheme,Chemical Engineering,Gellman,ZejbkR4AAAAJ
map-of-cheme,Chemical Engineering,Gomes,ILac8DwAAAAJ
map-of-cheme,Chemical Engineering,Gordon,AqrJMYIAAAAJ
map-of-cheme,Chemical Engineering,Gounaris,CINe7CgAAAAJ
map-of-cheme,Chemical Engineering,Grossman,fiZryxEAAAAJ
map-of-cheme,Chemical Engineering,Jen,c8e3DUMAAAAJ
map-of-cheme,Chemical Engineering,Khair,PInIkl8AAAAJ
map-of-cheme,Chemical Engineering,Kitchin,jD_4h7sAAAAJ
map-of-cheme,Chemical Engineering,Laird,0B3gfuoAAAAJ
map-of-cheme,Chemical Engineering,Niepa,aYUS1DkAAAAJ
map-of-cheme,Chemical Engineering,Panagakos,pk31kMgAAAAJ
map-of-cheme,Chemical Engineering,Robinson,NnIC2iAAAAAJ
