person_id,department_id,role,included,legacy_label,source_url,verified_at
person-abbott-afe0d8df,bme,faculty,true,Abbott,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-abigailnoyce-54e781b2,bme,faculty,true,Abigail Noyce,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-alisonbarth-1f2afa5b,bme,courtesy,false,Alison Barth,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-andreaspfenning-fa0e2f90,bme,courtesy,false,Andreas Pfenning,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-aryngittis-ab7517dd,bme,courtesy,false,Aryn Gittis,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-barbarashinncunningham-96d063b1,bme,courtesy,false,Barbara Shinn-Cunningham,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-cameronnriviere-c8f5fc44,bme,courtesy,false,Cameron N. Riviere,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-campbell-74479813,bme,faculty,true,Campbell,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-chalacheva-f588853e,bme,teaching,true,Chalacheva,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-chamanzar-94b70a7b,bme,courtesy,false,Maysam Chamanzar,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-chase-dd29cfbd,bme,faculty,true,Chase,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-cohen-karni-eb20363d,bme,faculty,true,Cohen-Karni,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-cook-2d634c17,bme,faculty,true,Cook,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-dandin-e72bd7be,bme,faculty,true,Marc Dandin,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-dennistrumble-393317e1,bme,emeritus,true,Dennis Trumble,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-derinsevenler-2dc79cdc,bme,faculty,true,Derin Sevenler,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-ericyttri-efbcbe2f,bme,courtesy,false,Eric Yttri,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-fangweisi-54f4d242,bme,faculty,true,Fangwei Si,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-farimani-2fc46be1,bme,courtesy,false,Amir Barati Farimani,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-feinberg-095ac87b,bme,faculty,true,Feinberg,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-garykfedder-4bea1509,bme,courtesy,false,Gary K. Fedder,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-grande-gutierrez-657b0ef2,bme,courtesy,false,Noelia Grande Gutiérrez,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-grover-6fe91ccb,bme,courtesy,false,Pulkit Grover,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
person-halilaj-4332d0fd,bme,courtesy,false,Eni Halilaj,https://www.cmu.edu/bme/People/Faculty/,2026-07-17
