person_id,display_name,scholar_id,scholar_id_source_url,scholar_id_verified_at,orcid,homepage_url,notes
person-aayushyaagarwal-c534d11d,Aayushya Agarwal,,,,,,Added from an official CMU directory on 2026-07-17; Scholar ID unresolved.
person-abbott-afe0d8df,Rosalyn Abbott,xSMEGpAAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-abigailnoyce-54e781b2,Abigail Noyce,y2ZkuLwAAAAJ,https://www.cmu.edu/bme/People/Faculty/profile/anoyce.html,2026-07-17,,https://www.cmu.edu/bme/People/Faculty/profile/anoyce.html,Added from an official CMU directory on 2026-07-17; Scholar ID verified from a linked public source on 2026-07-17.
person-abovyan-9857bf3a,Abovyan,,,,,,Migrated from the legacy map registries; full-name review pending.
person-acharya-76f65eb0,Amit Acharya,lRpngMEAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-adams-a5b5ae86,Peter Adams,,,,,,Verified against an official CMU directory on 2026-07-17.
person-aisuluaitbekova-a920cf51,Aisulu Aitbekova,g0Z5Wc8AAAAJ,https://engineering.cmu.edu/directory/bios/aitbekova-aisulu.html,2026-07-17,,https://engineering.cmu.edu/directory/bios/aitbekova-aisulu.html,Added from an official CMU directory on 2026-07-17; Scholar ID verified from a linked public source on 2026-07-17.
person-akinci-3e3b7cc1,Burcu Akinci,5VQf2cgAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-aksak-f1702f2c,Burak Aksak,UUvF5NkAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-alexandranewby-4fb2f25f,Alexandra Newby,,,,,,Added from an official CMU directory on 2026-07-17; Scholar ID unresolved.
person-alisonbarth-1f2afa5b,Alison Barth,,,,,,Added from an official CMU directory on 2026-07-17; Scholar ID unresolved.
person-allstot-6ad615ae,David Allstot,,,,,,Verified against an official CMU directory on 2026-07-17.
person-amvrosiadis-29ddc594,George Amvrosiadis,ygiY7C8AAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-andreaspfenning-fa0e2f90,Andreas Pfenning,,,,,,Added from an official CMU directory on 2026-07-17; Scholar ID unresolved.
person-andreazanette-fa7db71d,Andrea Zanette,PSfZDFUAAAAJ,https://azanette.com/,2026-07-17,,https://azanette.com/,Added from an official CMU directory on 2026-07-17; Scholar ID verified from a linked public source on 2026-07-17.
person-andrewilyas-9f6dac37,Andrew Ilyas,Dtw3YBoAAAAJ,https://engineering.cmu.edu/directory/bios/ilyas-andrew.html,2026-07-17,,https://engineering.cmu.edu/directory/bios/ilyas-andrew.html,Added from an official CMU directory on 2026-07-17; Scholar ID verified from a linked public source on 2026-07-17.
person-andrewspielberg-4df438e1,Andrew Spielberg,8JeQMMUAAAAJ,https://www.andrewspielberg.com/home,2026-07-17,,https://www.andrewspielberg.com/home,Added from an official CMU directory on 2026-07-17; Scholar ID verified from a linked public source on 2026-07-17.
person-andrzejstrojwas-c932a868,Andrzej Strojwas,,,,,,Added from an official CMU directory on 2026-07-17; Scholar ID unresolved.
person-anglin-a8736028,Anglin,,,,,,Migrated from the legacy map registries; full-name review pending.
person-anna-cdbc7781,Shelley Anna,2u09mlAAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-annettejacobson-1594ecd4,Annette Jacobson,,,,,,Added from an official CMU directory on 2026-07-17; Scholar ID unresolved.
person-apierce-b2c0d728,APierce,,,,,,Migrated from the legacy map registries; full-name review pending.
person-arthursugden-74772eb9,Arthur Sugden,,,,,,Added from an official CMU directory on 2026-07-17; Scholar ID unresolved.
person-arthurwesterberg-30882d49,Arthur Westerberg,,,,,,Added from an official CMU directory on 2026-07-17; Scholar ID unresolved.
person-aryngittis-ab7517dd,Aryn Gittis,,,,,,Added from an official CMU directory on 2026-07-17; Scholar ID unresolved.
person-ayoob-3bcb5b1d,Ellen Ayoob,,,,,,Verified against an official CMU directory on 2026-07-17.
person-bain-f729169f,Jim Bain,Ktm9tWwAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-barbarashinncunningham-96d063b1,Barbara Shinn-Cunningham,,,,,,Added from an official CMU directory on 2026-07-17; Scholar ID unresolved.
person-barr-von-oehsen-995dd42f,James Barr von Oehsen,,,,,,Verified against an official CMU directory on 2026-07-17.
person-bauer-8e3d1320,Lujo Bauer,5cJzDZEAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-bchen-ca344e62,Beidi Chen,jCNJhFcAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-beckwithmaddock-1e5ef6fb,Joanne Beckwith Maddock,,,,,,Verified against an official CMU directory on 2026-07-17.
person-bedillion-5c39e382,Mark Bedillion,UIS_G1YAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-benson-0e101d83,Theophilus Benson,55B-xqUAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-bergbreiter-b4bad05a,Sarah Bergbreiter,SU0c5P0AAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-berges-0174bc49,Mario Bergés,b7XUPaQAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-berikydstie-775d9584,B. Erik Ydstie,HiNCNyUAAAAJ,https://engineering.cmu.edu/directory/bios/ydstie-b-erik.html,2026-07-17,,https://engineering.cmu.edu/directory/bios/ydstie-b-erik.html,Added from an official CMU directory on 2026-07-17; Scholar ID verified from a linked public source on 2026-07-17.
person-bettinger-29b6bf00,Bettinger,XKp8JuwAAAAJ,,,,,Migrated from the legacy map registries; full-name review pending.
person-beuth-5961a02d,Jack Beuth,Zz3-zGQAAAAJ,,,,,Verified against an official CMU directory on 2026-07-17.
person-bezy-f47abd0b,Bezy,LNMV_6IAAAAJ,,,,,Migrated from the legacy map registries; full-name review pending.
person-bhagavatula-b81126e7,Vijayakumar Bhagavatula,3IdSGX8AAAAJ,https://engineering.cmu.edu/directory/bios/bhagavatula-vijayakumar.html,2026-07-17,,https://engineering.cmu.edu/directory/bios/bhagavatula-vijayakumar.html,Verified against an official CMU directory on 2026-07-17; Scholar ID verified from a linked public source on 2026-07-17.
